sample_id,month_pillar,v1_winner,v2_winner,base_winner,overlap_monthbonus_hidden_earth,base_raw_earth,base_raw_fire,base_raw_metal,damp_0.3_winner,damp_0.3_earth_damp_applied,damp_0.5_winner,damp_0.5_earth_damp_applied,damp_0.7_winner,damp_0.7_earth_damp_applied
S01,戊戌,earth,earth,earth,True,8.25,0.15,1.7,earth,0.315,earth,0.525,earth,0.735
S02,甲寅,water,water,water,False,1.8,1.45,1.5,water,0.0,water,0.0,water,0.0
S03,戊午,earth,earth,earth,False,7.65,4.05,0.0,earth,0.0,earth,0.0,earth,0.0
S04,丙子,water,water,water,False,3.35,2.95,0.0,water,0.0,water,0.0,water,0.0
S05,戊子,earth,earth,earth,False,4.45,1.35,1.65,earth,0.0,earth,0.0,earth,0.0
S06,己巳,earth,earth,earth,False,4.7,2.45,2.9,earth,0.0,earth,0.0,earth,0.0
S07,癸酉,wood,metal,metal,False,1.75,1.35,4.1,metal,0.0,metal,0.0,metal,0.0
S08,庚辰,wood,wood,wood,True,3.95,0.0,1.6,wood,0.105,wood,0.175,wood,0.245
S09,乙卯,earth,earth,earth,False,4.6,1.6,1.4,earth,0.0,earth,0.0,earth,0.0
S10,丙午,water,water,water,False,1.5,4.05,0.0,water,0.0,water,0.0,water,0.0
S11,丁酉,metal,metal,metal,False,1.5,2.95,7.2,metal,0.0,metal,0.0,metal,0.0
S12,戊子,metal,metal,metal,False,1.75,2.95,6.2,metal,0.0,metal,0.0,metal,0.0
S13,甲寅,wood,wood,wood,False,1.4,0.2,1.5,wood,0.0,wood,0.0,wood,0.0
S14,癸未,water,water,earth,True,3.95,2.9,1.65,earth,0.285,earth,0.475,earth,0.665
S15,丙戌,wood,wood,wood,True,3.95,1.65,1.6,wood,0.105,wood,0.175,wood,0.245
S16,乙丑,earth,earth,earth,True,7.05,1.35,1.65,earth,0.255,earth,0.425,earth,0.595
S17,丙辰,earth,earth,earth,True,6.95,3.3,0.0,earth,0.225,earth,0.375,earth,0.525
S18,甲申,wood,wood,metal,False,0.1,0.0,5.2,metal,0.0,metal,0.0,metal,0.0
S19,丁亥,fire,fire,water,False,2.7,3.35,1.7,water,0.0,water,0.0,water,0.0
S20,癸丑,water,water,earth,True,3.85,1.4,3.25,earth,0.255,earth,0.425,water,0.595
S21,壬辰,water,water,water,True,2.5,3.05,0.05,water,0.15,water,0.25,water,0.35
S22,丁酉,water,metal,metal,False,2.8,3.1,4.25,metal,0.0,metal,0.0,metal,0.0
S23,丙子,earth,earth,earth,False,3.4,3.05,1.5,earth,0.0,earth,0.0,earth,0.0
S24,乙卯,earth,earth,earth,False,4.85,2.7,1.65,earth,0.0,earth,0.0,earth,0.0
S25,甲午,wood,fire,fire,False,1.95,5.4,1.4,fire,0.0,fire,0.0,fire,0.0
S26,甲戌,water,earth,earth,True,5.05,0.15,1.8,earth,0.315,earth,0.525,earth,0.735
S27,辛丑,metal,metal,earth,True,3.8,2.95,3.35,earth,0.24,earth,0.4,metal,0.56
S28,甲辰,earth,earth,earth,True,8.3,1.8,1.35,earth,0.33,earth,0.55,earth,0.77
S29,乙未,fire,fire,fire,True,4.0,6.0,0.0,fire,0.3,fire,0.5,fire,0.7
S30,甲戌,wood,wood,earth,True,3.7,1.65,3.25,earth,0.21,wood,0.35,wood,0.49
S31,壬寅,water,water,wood,False,1.9,1.55,2.95,wood,0.0,wood,0.0,wood,0.0
S32,己巳,metal,metal,metal,False,3.5,3.7,4.5,metal,0.0,metal,0.0,metal,0.0
S33,丙申,fire,fire,fire,False,1.7,5.95,4.05,fire,0.0,fire,0.0,fire,0.0
S34,丙子,water,water,water,False,1.65,1.7,1.6,water,0.0,water,0.0,water,0.0
S35,癸卯,wood,wood,wood,False,2.85,1.4,0.15,wood,0.0,wood,0.0,wood,0.0
S36,丙午,fire,fire,fire,False,1.65,6.9,1.65,fire,0.0,fire,0.0,fire,0.0
S37,丙申,fire,fire,fire,False,4.5,4.6,2.45,fire,0.0,fire,0.0,fire,0.0
S38,己丑,earth,earth,earth,True,6.95,0.05,3.1,earth,0.225,earth,0.375,earth,0.525
S39,癸卯,fire,fire,fire,False,1.45,4.65,0.05,fire,0.0,fire,0.0,fire,0.0
S40,丙戌,earth,earth,earth,True,5.9,4.35,3.05,earth,0.21,earth,0.35,earth,0.49
